notice_id,errors,flags,got_no_persons,got_nothing,labels,might_have_unparsed_persons,officers
734,,,1,1,,,
1115,,,,,,,1
2662,,,1,1,,,
2694,,,1,1,,,
3269,,,,,,,1
3651,,3,,,,,1
3690,,,1,1,,,
5467,,,1,1,,,
5998,,2,,,,,2
6280,,1,,,,,2
6295,,,,,,,1
6425,,,1,1,,,
6758,,1,,,,,1
6791,,,1,1,,,1
7118,,,1,1,,,
8018,,,1,1,,,
8172,,,1,1,,,
8420,,,1,1,,,
8962,,,1,1,,,
9274,,,,,,,1
9283,,,,,,,2
9495,,,1,1,,,
9508,,,,,,1,1
9917,,,1,1,,,
9963,,,1,1,,,
10133,,,,,,,1
10591,,,1,1,,,
10773,,2,,,,,1
11280,,3,,,,,1
11631,,,1,1,,,
12067,,,1,1,,,
12477,,,1,1,,,
12868,,1,1,,,,
13375,,3,,,,,1
14089,,1,,,,,2
15088,,4,,,,,1
15525,,,,,,,2
15852,,,1,1,,,
16198,,,1,1,,,
16770,,2,,,,,1
17750,,,1,1,,,
18596,,,1,1,,,
18830,,1,,,,,1
19276,,,1,1,,,
20068,,5,,,,,2
20885,,1,,,,,1
20932,,,,,1,,2
20972,,,1,1,,,
21243,,,1,1,,,
21824,,,,,,,2
22353,,1,,,,,2
22742,,,1,1,,,
23162,,3,,,,,1
23419,,,1,1,,,
23602,,4,,,,,2
23617,,,1,1,,,
23623,,,1,1,,,
23775,,,1,1,,,
24932,,,1,1,,,
26036,,1,,,,,1
26072,,,1,,1,,
26301,,,,,,,1
26838,,,1,1,,,
26856,,1,,,,,2
27200,,,1,1,,,
27460,,,1,1,,,
27494,,1,,,,,1
27637,,,1,1,,,
27666,,,1,1,,,
27870,,,1,1,,,
28402,,,,,,,2
29212,,,,,,,1
29577,,3,,,1,,1
30705,,,1,,1,,
32536,,2,,,,,2
32582,,,1,1,,,
32742,,3,,,,1,1
32744,,,,,1,,1
32754,,,,,,,1
33662,,2,,,2,,2
34185,,2,,,1,,2
34572,,,1,1,,,
34705,,,1,,1,,
34711,,,1,1,,,
35247,,1,,,,,1
35775,,3,,,,,2
36045,,,1,1,,,
36669,,,1,1,,,
37325,,,1,1,,,
37370,,,1,1,,,
37396,,,1,1,,,
38473,,8,,,2,,2
39916,,,1,1,,,
39970,,,1,1,,,
40003,,,1,1,,,
40876,,,1,,1,,
41523,,,1,1,,,
41829,,1,,,,,1
42158,,1,1,,,,
42712,,,,,,,1
42970,,,1,1,,,
44197,,,1,1,,,
44758,,3,,,,,1
45121,,,1,,2,,
45993,,,1,1,,,
46287,,,1,1,,,
46567,,4,,,,,1
47700,,,,,,,1
48521,,,1,1,,,
49540,,,1,1,,,
49760,,,1,1,,,
49793,,6,,,1,,3
50233,,,1,1,,,
50577,,,1,,1,,
50991,,,,,,,1
51430,,,1,1,,,
51721,,4,,,1,,1
52647,,6,,,,1,1
53638,,,1,1,,,
54266,,,1,,2,,
54523,,,,,1,,1
54677,,1,,,,,3
55136,,1,,,1,,1
55194,,,1,1,,,
55560,,,1,1,,,
55683,,,1,1,,,
56412,,,1,1,,,
56846,,,1,1,,,
57387,,,1,1,,,
57403,,2,,,,,1
57757,,,1,1,,,
57910,,,1,,1,,
57926,,1,,,1,,1
58103,,2,,,1,,1
58345,,,1,1,,,
59130,,,1,1,,,
60442,,,1,1,,,
60726,,,,,,,1
61393,,,1,1,,,
61406,,5,,,1,,1
61415,,,,,,1,1
61626,,,,,,1,2
62033,,,,,,,2
62301,,,1,,1,,
62948,,,1,1,,,
63764,,1,,,,,1
64725,,,1,1,,,
65084,,,1,,1,,
65181,,1,,,,,1
65296,,3,,,,1,1
66280,,,1,1,,,
67146,,,1,1,,,
67240,,,,,,,1
68230,,,1,,1,,
68645,,,1,1,,,
68921,,,1,1,,,
69551,2,1,,,1,1,3
69564,,,1,1,,,
70403,,1,,,,,1
70456,,,1,1,,,
71007,,4,,,,,1
71071,,1,,,,,1
71306,,2,,,1,,1
71765,,4,,,1,1,1
71766,,2,,,1,,1
71849,,,1,1,,,
72030,,,,,,1,1
72521,,3,,,1,,1
73402,,,1,1,,,
73703,,,1,1,,,
73912,,,1,1,,,
74014,,,1,1,,,
74352,,2,,,,,2
74619,,1,,,,,2
75560,,,,,,1,1
75788,,,1,1,,,
75811,,4,,,,,1
75920,,,1,,1,,
76097,,,,,,1,2
76241,,1,,,1,1,1
76607,,,1,1,,,
76767,,5,,,1,,1
77700,,,1,,1,,
77737,,,1,1,,,
77989,,3,,,,,2
78010,,4,,,1,,1
78107,,,1,1,,,
78116,,,1,1,,,
78395,,4,,,1,,1
79046,,3,,,1,,1
79120,,,1,1,,,
79380,,,1,,1,,
79994,,4,,,,,1
80087,,,1,1,,,
80724,,,1,1,,,
80831,,,,,,,1
81179,,,,,,,1
81287,,,1,1,,,
83856,,,1,1,,,
83874,,,,,,,1
84078,,,1,,1,,
84286,,,1,,1,,
84516,,2,,,,,1
85213,,4,,,,,1
85671,,,1,,1,,
85935,,,1,1,,,
85943,,,,,,,2
86890,,,,,,,1
86986,,,1,1,,,
86997,,,1,1,,,
87705,,,1,1,,,
87800,,,1,1,,,
87842,,,1,1,,,
89095,,,1,,1,,
89410,,,,,,,2
90384,1,,1,,,1,
90476,,,1,1,,,
90671,,,1,1,,,
90705,,4,,,,1,1
91567,,2,,,,,2
92376,,,1,1,,,
92599,,,1,1,,,
92880,,4,,,1,,1
