+-----------+-----------+--------+-------+----------------+-------------+--------+-----------------------------+---------+----------+
| notice_id | addresses | errors | flags | got_no_persons | got_nothing | labels | might_have_unparsed_persons | notices | officers |
+-----------+-----------+--------+-------+----------------+-------------+--------+-----------------------------+---------+----------+
|     20    |           |   2    |       |       1        |             |        |              1              |         |          |
|     40    |           |   1    |   1   |                |             |        |                             |         |    2     |
|    109    |           |   3    |   2   |                |             |        |                             |         |    1     |
|    208    |           |        |       |       1        |      1      |        |                             |         |          |
|    311    |           |        |   1   |                |             |        |                             |         |    1     |
|    405    |           |   1    |   3   |                |             |        |                             |         |    1     |
|    415    |           |        |       |                |             |        |                             |         |    2     |
|    467    |           |        |   1   |       1        |             |        |              1              |         |          |
|    473    |           |        |       |                |             |        |                             |         |    1     |
|    494    |           |   1    |   4   |                |             |        |                             |         |    1     |
|    506    |           |        |       |                |             |        |                             |         |    1     |
|    512    |           |        |       |       1        |      1      |        |                             |         |          |
|    547    |           |   1    |   1   |                |             |        |                             |         |    2     |
|    556    |           |        |       |                |             |        |                             |         |    2     |
|    564    |           |        |       |                |             |        |                             |         |    1     |
|    641    |           |        |   1   |                |             |        |                             |         |    5     |
|    679    |           |        |   2   |                |             |        |                             |         |    1     |
|    689    |           |        |   2   |                |             |        |                             |         |    3     |
|    711    |           |   1    |   2   |                |             |        |                             |    1    |    1     |
|    805    |           |   1    |   3   |                |             |        |                             |         |    1     |
|    883    |           |        |       |       1        |      1      |        |                             |         |          |
|    953    |           |   1    |   1   |                |             |        |                             |         |    2     |
|    961    |           |   1    |   4   |                |             |        |                             |         |    1     |
|    1050   |           |        |   3   |                |             |        |                             |         |    1     |
|    1107   |           |   1    |   3   |                |             |        |                             |         |    1     |
|    1111   |           |   3    |   2   |                |             |        |                             |         |    1     |
|    1140   |           |        |       |       1        |             |        |                             |    1    |          |
|    1265   |           |        |       |       1        |      1      |        |                             |         |          |
|    1355   |           |        |       |                |             |        |                             |         |    1     |
|    1356   |           |        |   1   |                |             |        |                             |         |    2     |
|    1384   |           |        |   3   |                |             |        |                             |         |    3     |
|    1395   |           |        |       |                |             |        |                             |         |    2     |
|    1440   |           |        |   1   |                |             |        |                             |         |    2     |
|    1538   |           |        |   3   |                |             |        |                             |         |    1     |
|    1574   |           |        |       |       1        |      1      |        |                             |         |          |
|    1639   |           |        |       |                |             |        |                             |         |    2     |
|    1703   |           |        |       |       1        |             |        |                             |    1    |          |
|    1716   |           |   2    |   2   |                |             |        |                             |         |    2     |
|    1859   |           |   1    |   1   |                |             |        |                             |         |    1     |
|    1876   |           |        |       |       1        |      1      |        |                             |         |          |
|    1908   |           |        |   2   |                |             |        |                             |         |    2     |
|    2030   |           |        |       |                |             |        |                             |         |    2     |
